Nama Jalan,Latitude,Longtitude,Lajur,Waktu,Hari,Tanggal,MOTOR,MOBIL,BUS/TRUK,JUMLAH,HEADWAY(s),GAP(s),85 P SPEED (Km/Jam),AVG. SPEED (Km/Jam),OCCUPANCY (%),LEBAR JALAN (m),PANJANG ANTRIAN (m)
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,PAGI,SENIN,18-04-2022 07:00,626,477,252,1355,0.09,5.97,41.25,19.62,79.88,22,680
SP. M TOHA,-6.948332,107.609386,BELOK KIRI,SORE,RABU,13-04-2022 16:00,1161,375,110,1646,0.00,1.10,42.50,18.75,79.80,12.5,680
SP. PASIR KOJA,-6.930399,107.57604,Lurus kanan,PAGI,KAMIS,21-04-2022 07:00,487,480,226,1193,0.49,3.54,42.50,24.69,79.50,22,680
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,SELASA,05-04-2022 7:00,1689,837,139,2665,0.07,2.10,42.75,18.88,79.35,21,680
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,PAGI,SELASA,26-04-2022 07:00,648,279,131,1058,0.06,5.61,43.00,17.94,79.19,12.5,680
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,RABU,13-04-2022 16:00,382,393,208,983,0.09,5.76,42.50,20.19,79.18,12.5,680
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,PAGI,SABTU,09-04-2022 7:00,635,340,244,1219,0.59,3.13,44.50,24.56,78.85,22,680
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SORE,SENIN,18-04-2022 16:00,505,585,241,1331,0.03,7.14,42.75,18.12,78.85,22,680
SP. GEDE BAGE,-6.937128,107.692583,BELOK KIRI,PAGI,JUMAT,08-04-2022 7:00,708,51,31,790,0.02,6.61,35.75,18.56,78.75,7.2,680
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,RABU,27-04-2022 16:00,667,392,230,1289,0.17,1.92,40.00,15.25,78.64,12.5,680
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,SABTU,02-04-2022 7:00,834,565,157,1556,0.14,5.68,38.50,22.88,78.62,21,680
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,PAGI,RABU,27-04-2022 07:00,732,244,183,1159,0.02,2.75,43.00,18.94,78.55,12.5,680
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,RABU,06-04-2022 16:00,625,510,140,1275,0.01,1.41,32.00,15.26,78.35,21,680
SP. BATUNUNGGAL,-6.949535,107.626064,Lurus kiri,PAGI,SABTU,23-04-2022 07:00,411,214,122,747,0.69,5.39,48.75,39.75,78.12,14,680
SP. BUAH BATU,-6.947987,107.633434,Lurus kanan,PAGI,SELASA,19-04-2022 07:00,206,149,14,369,0.04,7.26,49.00,23.38,78.12,21,680
SP. ISTANA PLAZA,-6.906442307,107.5975451,LURUS KIRI,SIANG,SABTU,16-04-2022 12:00,418,592,187,1197,0.41,4.29,40.50,18.44,78.09,14,680
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,KAMIS,14-04-2022 16:00,3112,174,500,3786,0.01,1.66,45.00,13.38,78.05,21,680
SP. BATUNUNGGAL,-6.949535,107.626064,LURUS KANAN,SORE,SELASA,26-04-2022 16:00,773,766,170,1709,0.42,2.42,49.50,26.88,78.01,14,680
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SORE,KAMIS,28-04-2022 16:00,576,315,12,903,0.37,4.44,45.25,15.25,77.98,21,670
SP. M TOHA,-6.948332,107.609386,Lurus kanan,PAGI,JUMAT,22-04-2022 07:00,804,232,111,1147,0.04,4.97,46.25,19.84,77.88,12.5,670
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SORE,JUMAT,01-04-2022 16:00,251,263,16,530,0.18,4.20,46.75,21.56,77.85,21,670
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,SABTU,30-04-2022 16:00,571,429,135,1135,1.61,6.85,35.00,19.31,77.85,12.5,670
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,SENIN,18-04-2022 07:00,240,131,33,404,0.00,9.94,49.50,20.38,77.80,21,670
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,SENIN,11-04-2022 16:00,1439,1912,278,3629,0.01,1.22,45.50,10.88,77.51,21,670
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SIANG,SELASA,12-04-2022 12:00,498,313,260,1071,0.10,8.35,41.50,19.56,77.36,12.5,670
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,JUMAT,01-04-2022 7:00,181,137,27,345,2.16,18.74,49.50,20.56,77.32,21,670
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,RABU,13-04-2022 16:00,3530,19,442,3991,0.00,0.75,45.00,16.19,77.15,21,670
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,PAGI,KAMIS,21-04-2022 07:00,393,438,91,922,0.20,6.72,31.00,20.22,77.15,21,670
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,SORE,JUMAT,22-04-2022 16:00,570,728,252,1550,0.00,3.94,29.00,7.87,77.12,21,670
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SIANG,RABU,06-04-2022 12:00,540,264,215,1019,0.00,4.84,45.00,19.44,76.95,12.5,660
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,SENIN,18-04-2022 07:00,2252,1626,92,3970,0.00,2.51,41.25,13.56,76.89,21,660
SP. BATUNUNGGAL,-6.949535,107.626064,Lurus kanan,SORE,RABU,20-04-2022 16:00,797,628,193,1618,0.17,8.10,48.50,28.25,76.88,14,660
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,SORE,SELASA,19-04-2022 16:00,725,458,201,1384,0.41,2.27,30.00,19.74,76.86,21,660
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,PAGI,JUMAT,22-04-2022 07:00,2168,1897,236,4301,0.00,1.48,73.00,12.94,76.83,21,660
SP. BATUNUNGGAL,-6.949535,107.626064,LURUS KANAN,PAGI,KAMIS,28-04-2022 07:00,655,349,140,1144,0.16,4.81,53.75,31.00,76.78,14,660
SP. ISTANA PLAZA,-6.906442307,107.5975451,LURUS,SORE,MINGGU,17-04-2022 16:00,187,563,40,790,0.23,11.51,83.00,48.69,76.75,14,660
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SORE,RABU,13-04-2022 16:00,705,756,337,1798,0.08,3.70,41.00,15.94,76.75,22,660
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,PAGI,SELASA,05-04-2022 7:00,722,409,150,1281,0.01,18.76,41.75,22.44,76.74,22,660
SP. BUAH BATU,-6.947987,107.633434,Lurus kanan,PAGI,SELASA,19-04-2022 07:00,1271,784,90,2145,0.00,5.28,42.50,17.62,76.68,21,660
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,SABTU,16-04-2022 16:00,1170,374,94,1638,0.00,4.11,40.00,16.44,76.65,12.5,660
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SORE,RABU,06-04-2022 16:00,318,409,57,784,0.82,3.63,44.00,15.88,76.38,21,660
SP. BUAH BATU,-6.947987,107.633434,BELOK KIRI,PAGI,KAMIS,14-04-2022 07:00,2612,746,52,3410,0.00,0.32,50.00,32.94,76.34,21,660
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,KAMIS,07-04-2022 7:00,1352,801,130,2283,0.00,2.13,46.25,20.81,76.25,21,660
SP. BATUNUNGGAL,-6.949535,107.626064,LURUS KANAN,SORE,SENIN,25-04-2022 16:00,640,725,225,1590,0.10,2.22,50.00,23.31,76.23,14,660
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,SENIN,11-04-2022 7:00,1307,722,114,2143,0.05,3.87,42.75,16.06,76.23,21,660
SP. ISTANA PLAZA,-6.906442307,107.5975451,LURUS KIRI,PAGI,SABTU,16-04-2022 07:00,668,384,324,1376,0.20,11.30,45.00,33.19,76.23,14,660
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,PAGI,JUMAT,29-04-2022 07:00,528,427,237,1192,0.29,4.11,41.75,22.69,76.13,22,660
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SIANG,MINGGU,17-04-2022 12:00,923,1791,98,2812,0.00,6.08,35.50,14.69,76.08,21,660
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,JUMAT,01-04-2022 7:00,1027,860,132,2019,0.24,4.34,40.00,15.06,76.01,21,660
SP. PASIR KOJA,-6.930399,107.57604,Lurus kanan,SORE,RABU,20-04-2022 16:00,427,675,238,1340,0.32,10.15,41.25,21.50,76.01,22,660
SP. GEDE BAGE,-6.937128,107.692583,BELOK KIRI,PAGI,RABU,06-04-2022 7:00,350,132,7,489,0.13,7.36,49.50,24.88,75.65,7.2,650
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,SELASA,26-04-2022 07:00,770,853,329,1952,0.00,5.29,50.25,25.06,75.63,21,650
SP. PASIR KALIKI,-6.900525,107.597353,LURUS,PAGI,SELASA,26-04-2022 07:00,320,466,88,874,3.48,9.32,53.00,19.69,75.63,14,650
SP. PASIR KALIKI,-6.900525,107.597353,LURUS,PAGI,SENIN,11-04-2022 7:00,462,427,80,969,0.01,4.83,52.75,19.25,75.50,14,650
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,JUMAT,08-04-2022 7:00,287,113,19,419,2.41,12.87,52.25,17.38,75.49,21,650
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SIANG,SABTU,09-04-2022 12:00,470,553,288,1311,1.55,10.85,40.50,15.31,75.49,22,650
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,SELASA,26-04-2022 16:00,484,533,114,1131,0.00,3.33,29.50,20.10,75.49,21,650
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,JUMAT,29-04-2022 07:00,458,315,108,881,0.42,2.88,30.00,17.90,75.41,21,650
SP. M TOHA,-6.948332,107.609386,BELOK KIRI,SORE,KAMIS,07-04-2022 16:00,1097,359,102,1558,0.00,3.35,40.75,17.38,75.28,12.5,650
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,KAMIS,28-04-2022 16:00,669,547,67,1283,0.02,1.77,30.00,15.42,75.26,21,650
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SORE,SABTU,30-04-2022 16:00,418,602,86,1106,0.15,8.43,42.25,27.88,75.23,22,650
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SORE,JUMAT,08-04-2022 16:00,844,857,117,1818,0.00,2.38,38.25,16.50,75.20,21,650
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SORE,MINGGU,10-04-2022 16:00,241,301,0,542,0.50,5.67,44.50,20.81,75.16,21,650
SP. M TOHA,-6.948332,107.609386,Lurus kanan,SIANG,SABTU,23-04-2022 12:00,586,416,236,1238,1.05,2.72,40.50,17.56,75.14,12.5,650
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,PAGI,RABU,13-04-2022 07:00,723,507,199,1429,0.10,8.97,46.25,23.25,75.12,22,650
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,PAGI,SELASA,19-04-2022 07:00,2420,1932,234,4586,0.00,1.24,52.25,14.88,75.09,21,650
SP. M TOHA,-6.948332,107.609386,Belok kiri,PAGI,KAMIS,21-04-2022 07:00,1425,447,139,2011,0.00,2.15,41.00,20.44,74.85,12.5,640
SP. BATUNUNGGAL,-6.949535,107.626064,LURUS KANAN,PAGI,JUMAT,29-04-2022 07:00,726,289,104,1119,0.17,3.52,54.75,37.69,74.73,14,640
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,SELASA,05-04-2022 16:00,1533,1664,282,3479,0.01,1.98,45.00,12.75,74.69,21,640
SP. M TOHA,-6.948332,107.609386,Lurus kanan,SIANG,SABTU,23-04-2022 12:00,297,376,209,882,0.16,14.24,39.75,23.94,74.68,12.5,640
SP. PASIR KOJA,-6.930399,107.57604,Lurus kanan,SIANG,SABTU,23-04-2022 12:00,477,639,192,1308,3.10,5.04,41.50,26.25,74.66,22,640
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SORE,SENIN,11-04-2022 16:00,479,566,254,1299,0.21,6.67,44.75,24.50,74.64,22,640
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,SELASA,26-04-2022 16:00,636,286,247,1169,0.24,4.42,38.75,14.62,74.63,12.5,640
SP. PASTEUR,-6.892133857,107.5811173,Lurus kanan,SORE,RABU,20-04-2022 16:00,1744,2126,157,4027,0.00,0.57,38.75,16.69,74.61,14,640
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,SELASA,05-04-2022 16:00,605,633,171,1409,0.35,3.14,31.50,15.63,74.61,21,640
SP. ISTANA PLAZA,-6.906442307,107.5975451,BELOK KANAN,SORE,RABU,13-04-2022 16:00,1440,1017,144,2601,0.00,1.86,39.00,18.94,74.55,14,640
SP. PASIR KALIKI,-6.900525,107.597353,LURUS,PAGI,KAMIS,14-04-2022 07:00,390,397,78,865,0.03,9.83,55.00,26.56,74.53,14,640
SP. PASIR KALIKI,-6.900525,107.597353,LURUS,PAGI,SELASA,12-04-2022 7:00,381,573,81,1035,0.76,3.81,54.50,19.56,74.52,14,640
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,SELASA,12-04-2022 16:00,428,472,70,970,0.40,4.27,38.25,14.25,74.52,21,640
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SIANG,SABTU,30-04-2022 12:00,477,567,102,1146,0.02,4.70,38.50,18.62,74.50,22,640
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,JUMAT,01-04-2022 7:00,2095,1918,221,4234,0.00,1.39,41.00,15.38,74.50,21,640
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,SELASA,26-04-2022 16:00,335,443,192,970,1.96,4.82,38.25,22.00,74.43,12.5,640
SP. M TOHA,-6.948332,107.609386,BELOK KIRI,SORE,SABTU,30-04-2022 16:00,1566,319,86,1971,0.00,1.35,35.00,16.75,74.43,12.5,640
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,PAGI,RABU,06-04-2022 7:00,632,363,150,1145,0.00,14.53,41.75,24.88,74.42,22,640
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SORE,SENIN,18-04-2022 16:00,1055,751,269,2075,0.03,2.97,40.75,18.12,74.40,21,640
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SIANG,SABTU,30-04-2022 12:00,338,433,146,917,0.00,5.43,40.00,23.12,74.40,12.5,640
SP. M TOHA,-6.948332,107.609386,Belok kiri,SORE,SABTU,23-04-2022 16:00,1172,363,117,1652,0.00,1.24,38.75,13.25,74.36,12.5,640
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,SELASA,26-04-2022 07:00,2280,2149,228,4657,0.04,0.57,42.75,16.56,74.36,21,640
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,SIANG,SENIN,25-04-2022 12:00,158,348,70,576,0.23,6.45,46.50,21.75,74.16,21,640
SP. PASIR KALIKI,-6.900525,107.597353,Lurus,PAGI,SELASA,19-04-2022 07:00,356,420,146,922,0.08,2.87,53.75,18.31,74.04,14,640
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,SORE,SABTU,23-04-2022 16:00,1677,1565,354,3596,0.00,2.05,40.25,15.06,74.02,21,640
SP. BATUNUNGGAL,-6.949535,107.626064,Lurus kiri,PAGI,SELASA,19-04-2022 07:00,405,304,76,785,1.28,4.55,47.50,37.44,74.00,14,640
SP. BATUNUNGGAL,-6.949535,107.626064,Lurus kanan,SIANG,RABU,20-04-2022 12:00,624,579,243,1446,0.19,1.66,53.50,31.56,74.00,14,640
SP. BUAH BATU,-6.947987,107.633434,BELOK KIRI,PAGI,RABU,06-04-2022 7:00,2327,702,51,3080,0.00,2.81,53.00,31.69,74.00,21,640
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,SENIN,04-04-2022 7:00,3329,948,174,4451,0.01,0.79,43.25,25.25,73.98,21,630
SP. BUAH BATU,-6.947987,107.633434,Belok kiri,PAGI,KAMIS,21-04-2022 07:00,2238,779,58,3075,0.01,3.03,50.50,26.44,73.93,21,630
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,SABTU,02-04-2022 16:00,525,551,53,1129,0.01,1.64,34.75,12.75,73.92,21,630
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,RABU,27-04-2022 07:00,180,118,4,302,0.18,7.55,50.00,21.50,73.91,21,630
SP. BUAH BATU,-6.947987,107.633434,Lurus kanan,SORE,SABTU,23-04-2022 16:00,345,975,204,1524,0.47,6.85,52.25,24.12,73.88,21,630
SP. BATUNUNGGAL,-6.949535,107.626064,Lurus kanan,SORE,SABTU,23-04-2022 16:00,827,647,168,1642,0.02,2.39,48.25,25.88,73.84,14,630
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,PAGI,JUMAT,01-04-2022 7:00,588,250,147,985,0.00,7.00,39.50,19.25,73.84,12.5,630
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,SELASA,12-04-2022 7:00,1088,742,98,1928,0.07,11.07,44.00,19.50,73.79,21,630
SP. M TOHA,-6.948332,107.609386,Lurus kanan,PAGI,RABU,20-04-2022 07:00,818,257,135,1210,0.00,3.46,42.25,20.88,73.71,12.5,630
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,PAGI,SENIN,25-04-2022 07:00,847,224,118,1189,0.00,1.66,43.00,19.81,73.69,12.5,630
SP. BATUNUNGGAL,-6.949535,107.626064,LURUS KANAN,SIANG,SABTU,30-04-2022 12:00,513,582,161,1256,1.12,4.82,50.00,35.75,73.51,14,630
SP. BATUNUNGGAL,-6.949535,107.626064,LURUS KIRI,SORE,SABTU,16-04-2022 16:00,453,465,167,1085,0.08,10.30,40.00,13.94,73.50,14,630
SP. GEDE BAGE,-6.937128,107.692583,LURUS KANAN,PAGI,SENIN,25-04-2022 07:00,333,189,140,662,0.17,2.61,52.00,26.75,73.49,7.2,630
SP. BATUNUNGGAL,-6.949535,107.626064,Lurus kanan,PAGI,KAMIS,21-04-2022 07:00,607,397,176,1180,0.09,5.93,52.50,32.88,73.39,14,630
SP. BATUNUNGGAL,-6.949535,107.626064,LURUS KANAN,SIANG,RABU,27-04-2022 12:00,558,635,217,1410,0.01,4.17,57.50,38.19,73.39,14,630
SP. BATUNUNGGAL,-6.949535,107.626064,LURUS KANAN,PAGI,SENIN,25-04-2022 07:00,659,407,134,1200,0.40,6.82,55.50,32.62,73.21,14,630
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,KAMIS,14-04-2022 16:00,293,535,294,1122,0.70,16.19,43.50,23.12,73.17,12.5,630
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,SENIN,18-04-2022 07:00,2604,908,136,3648,0.01,1.09,41.25,30.06,73.17,21,630
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,KAMIS,28-04-2022 07:00,2160,1952,281,4393,0.00,0.98,44.25,17.75,73.10,21,630
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,PAGI,SENIN,25-04-2022 07:00,598,407,261,1266,0.74,4.70,45.00,21.25,73.07,22,630
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,SORE,RABU,20-04-2022 16:00,1987,1978,228,4193,0.00,1.09,41.75,13.00,73.07,21,630
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,KAMIS,14-04-2022 07:00,238,177,17,432,1.11,35.17,52.75,21.44,73.01,21,630
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,PAGI,KAMIS,07-04-2022 7:00,669,551,186,1406,0.45,3.90,45.00,22.12,72.97,22,620
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,SORE,KAMIS,28-04-2022 16:00,720,364,206,1290,1.59,7.54,37.75,17.50,72.92,12.5,620
SP. SAMSAT,-6.945438,107.641889,Lurus kanan,SIANG,KAMIS,21-04-2022 12:00,1211,1744,297,3252,0.04,1.55,41.00,14.44,72.91,21,620
SP. BATUNUNGGAL,-6.949535,107.626064,LURUS KIRI,SIANG,RABU,06-04-2022 12:00,245,336,279,860,0.35,8.32,45.00,31.00,72.89,14,620
SP. PASIR KALIKI,-6.900525,107.597353,LURUS,PAGI,JUMAT,08-04-2022 7:00,317,547,47,911,0.12,5.90,55.00,18.31,72.88,14,620
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,PAGI,SENIN,25-04-2022 07:00,428,354,212,994,0.03,2.53,43.25,19.12,72.86,12.5,620
SP. BUAH BATU,-6.947987,107.633434,Lurus kanan,SIANG,KAMIS,21-04-2022 12:00,218,418,29,665,0.71,5.84,46.75,22.00,72.83,21,620
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,SENIN,18-04-2022 16:00,1619,1979,316,3914,0.34,1.83,44.25,16.62,72.83,21,620
SP. PASIR KOJA,-6.930399,107.57604,LURUS KANAN,SORE,SABTU,02-04-2022 16:00,489,532,348,1369,1.13,3.61,41.25,18.44,72.69,22,620
SP. M TOHA,-6.948332,107.609386,LURUS KANAN,PAGI,SELASA,12-04-2022 7:00,737,200,97,1034,0.00,2.41,42.25,16.88,72.60,12.5,620
SP. BUAH BATU,-6.947987,107.633434,BELOK KIRI,PAGI,SENIN,18-04-2022 07:00,2175,776,69,3020,0.00,0.96,49.75,30.00,72.58,21,620
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,PAGI,SENIN,04-04-2022 7:00,2840,2009,162,5011,0.00,1.39,43.25,12.81,72.56,21,620
SP. M TOHA,-6.948332,107.609386,BELOK KIRI,SORE,KAMIS,28-04-2022 16:00,1322,281,132,1735,0.01,2.60,38.75,17.94,72.55,12.5,620
SP. PASIR KALIKI,-6.900525,107.597353,LURUS,PAGI,SENIN,04-04-2022 7:00,327,371,75,773,0.10,5.73,52.25,23.12,72.54,14,620
SP. PASIR KALIKI,-6.900525,107.597353,LURUS,SIANG,SENIN,04-04-2022 12:00,258,531,133,922,0.69,12.48,61.50,21.38,72.39,14,620
SP. M TOHA,-6.948332,107.609386,Lurus kanan,SORE,KAMIS,21-04-2022 16:00,607,389,250,1246,1.02,19.48,40.75,16.44,72.33,12.5,620
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,SELASA,05-04-2022 7:00,1052,965,153,2170,0.01,9.05,48.75,20.75,72.32,21,620
SP. BUAH BATU,-6.947987,107.633434,LURUS KANAN,PAGI,KAMIS,28-04-2022 07:00,1148,883,135,2166,0.03,5.93,41.25,14.31,72.31,21,620
SP. SAMSAT,-6.945438,107.641889,LURUS KANAN,SORE,RABU,13-04-2022 16:00,525,391,210,1126,0.04,4.20,29.00,11.07,72.27,21,620
